NAME,TYPE,TEAM,X,Y,VISIBLE,SENSRANGE,COMBATPOWER,SPEED,WEAPON,RADIUS,SYMBOL,
201,INFANTRY,ENEMY,810,650,TRUE,5000,10,20,JAVELIN,20, ARMORINF_BLUE.bmp,
202,INFANTRY,ENEMY,860,700,TRUE,5000,10,20,JAVELIN,20, ARMORINF_BLUE.bmp,
203,INFANTRY,ENEMY,910,800,TRUE,5000,10,20,JAVELIN,20, ARMORINF_BLUE.bmp,
204,INFANTRY,ENEMY,950,850,TRUE,5000,10,20,JAVELIN,20, ARMORINF_BLUE.bmp,
205,TANK,ENEMY,1000,600,TRUE,5000,10,20,SWINGFIRE,20, ARMORINF_BLUE.bmp,
101,INFANTRY,FRIENDLY,700,600,TRUE,5000,10,20,AT-4,20, ARMORINF.bmp,
101,INFANTRY,FRIENDLY,760,700,TRUE,5000,10,20,AT-4,20, ARMORINF.bmp ,
103,INFANTRY,FRIENDLY,800,800,TRUE,5000,10,20,AT-4,20, ARMORINF.bmp,
104,ANTITANK,FRIENDLY,800,800,TRUE,5000,10,20,AT-4,20, ARMORINF.bmp,
104,TANK,FRIENDLY,880,850,TRUE,5000,10,20,SWINGFIRE,20, TANK.bmp,
